name,importance
plas,0.37390062107343514
mass,0.16191070078737815
age,0.10839768741284084
preg,0.09621674144072824
pedi,0.09076168483946773
pres,0.07456591067028048
skin,0.04796933427968533
insu,0.04627731949618407
